station,period_start,period_end,albedo_hls,albedo_s2,coverage_hls,coverage_s2,difference_hls_minus_s2
Bosque seco,2022-12-19,2022-12-27,0.13423140156500427,0.14412134738470936,99.81994039772884,99.30332326371534,-0.009889945819705093
Bosque seco,2022-12-27,2023-01-01,0.13436618559937544,0.14068762472411322,99.81994039772884,99.30332326371534,-0.006321439124737788
Bosque seco,2023-01-01,2023-01-09,0.13349215399011127,0.12837465640707885,99.81994039772884,99.30332326371534,0.0051174975830324265
Bosque seco,2023-01-09,2023-01-17,0.130208295055688,0.13229950434808702,99.81994039772884,99.30332326371534,-0.0020912092923990044
Bosque seco,2023-01-17,2023-01-25,0.1339160675604019,0.15031228931089505,99.81994039772884,99.30332326371534,-0.016396221750493156
Bosque seco,2023-01-25,2023-02-02,0.1339796346662891,0.1471010010465543,99.81994039772884,99.30332326371534,-0.013121366380265204
Bosque seco,2023-02-02,2023-02-10,0.1397801688023688,0.1503809954298028,99.81994039772884,99.30332326371534,-0.010600826627434001
Bosque seco,2023-02-10,2023-02-18,0.13883735366388775,0.1512429755962483,99.81994039772884,99.30332326371534,-0.012405621932360555
Bosque seco,2023-02-18,2023-02-26,0.14257129819495673,0.15660440240074378,99.81994039772884,99.30332326371534,-0.014033104205787045
Bosque seco,2023-02-26,2023-03-06,0.1483798517118049,0.1633655819071847,99.81994039772884,99.30332326371534,-0.014985730195379798
Bosque seco,2023-03-14,2023-03-22,0.14300360524184746,0.16229405987206943,99.81994039772884,99.30332326371534,-0.01929045463022197
Bosque seco,2023-03-22,2023-03-30,0.16093489931513966,0.18743693817691726,99.81994039772884,99.30332326371534,-0.0265020388617776
Bosque seco,2023-03-30,2023-04-07,0.16787964103811012,0.18960853460360946,99.81994039772884,99.30332326371534,-0.02172889356549934
Bosque seco,2023-04-07,2023-04-15,0.1775417153580647,0.1992557327320469,99.81994039772884,99.30332326371534,-0.02171401737398218
Bosque seco,2023-04-15,2023-04-23,0.16916898438213185,0.1944217573894335,99.81994039772884,99.30332326371534,-0.025252773007301665
Bosque seco,2023-04-23,2023-05-01,0.20124469348366106,0.24907699672843692,99.81994039772884,99.30332326371534,-0.04783230324477586
Bosque seco,2023-05-09,2023-05-17,0.1583776474610569,0.17323228401560217,99.81994039772884,99.30332326371534,-0.014854636554545275
Bosque seco,2023-06-18,2023-06-26,0.1708918383574125,0.19622216334722736,99.81994039772884,99.30332326371534,-0.025330324989814856
Bosque seco,2023-07-12,2023-07-20,0.14143686525154892,0.2041639321034066,99.81994039772884,99.30332326371534,-0.0627270668518577
Bosque seco,2023-07-20,2023-07-28,0.16031416823452785,0.18745114967233273,99.81994039772884,99.30332326371534,-0.02713698143780488
Bosque seco,2023-07-28,2023-08-05,0.16751733299372631,0.17796728904637993,99.81994039772884,99.30332326371534,-0.010449956052653614
Bosque seco,2023-08-05,2023-08-13,0.162951041933727,0.17761672532193026,99.81994039772884,99.30332326371534,-0.01466568338820326
Bosque seco,2023-08-29,2023-09-06,0.1682619703550384,0.18987934305495474,99.81994039772884,99.30332326371534,-0.021617372699916343
Bosque seco,2023-09-14,2023-09-22,0.15502235948570361,0.18923762186167958,99.81994039772884,99.30332326371534,-0.03421526237597597
Bosque seco,2023-09-22,2023-09-30,0.152942519368961,0.2102245237272293,99.81994039772884,99.30332326371534,-0.0572820043582683
Bosque seco,2023-09-30,2023-10-08,0.15607872966306946,0.17512219098769133,99.81994039772884,99.30332326371534,-0.01904346132462187
Bosque seco,2023-10-16,2023-10-24,0.16592818761252515,0.18195771506194258,99.81994039772884,99.30332326371534,-0.016029527449417436
Bosque seco,2023-11-09,2023-11-17,0.1506923979401815,0.16176832492210244,99.81994039772884,99.30332326371534,-0.011075926981920947
Bosque seco,2023-11-17,2023-11-25,0.150029732779708,0.1598623166690063,99.81994039772884,99.30332326371534,-0.009832583889298308
Bosque seco,2023-12-03,2023-12-11,0.14559669770243824,0.1531711387320297,99.81994039772884,99.30332326371534,-0.0075744410295914555
Bosque seco,2023-12-11,2023-12-19,0.13670677346918947,0.14973304934771242,99.81994039772884,99.30332326371534,-0.013026275878522953
Bosque seco,2023-12-19,2023-12-27,0.1279240116297993,0.14736659164866547,99.81994039772884,99.30332326371534,-0.019442580018866173
Bosque seco,2023-12-27,2024-01-01,0.14435859926881983,0.16025330247805056,99.81994039772884,99.30332326371534,-0.015894703209230726
Manglar,2021-01-01,2021-01-09,0.1419705285030778,0.17570004429766975,99.02027247771824,99.30135845474761,-0.03372951579459196
Manglar,2021-01-17,2021-01-25,0.14365082828698686,0.15534776004075498,99.02027247771824,99.30135845474761,-0.011696931753768125
Manglar,2021-01-25,2021-02-02,0.14637518006371839,0.1595927765197803,99.02027247771824,99.30135845474761,-0.013217596456061909
Manglar,2021-02-02,2021-02-10,0.14832821359075848,0.16236391106657433,99.02027247771824,99.30135845474761,-0.014035697475815845
Manglar,2021-02-10,2021-02-18,0.14969619069312073,0.16482836707923057,99.02027247771824,99.30135845474761,-0.015132176386109836
Manglar,2021-02-18,2021-02-26,0.15589308832094054,0.1690959065717797,99.02027247771824,99.30135845474761,-0.01320281825083916
Manglar,2021-02-26,2021-03-06,0.1548324670618991,0.17234119720004532,99.02027247771824,99.30135845474761,-0.017508730138146217
Manglar,2021-03-14,2021-03-22,0.16446339493512632,0.1909174958652557,99.02027247771824,99.30135845474761,-0.02645410093012937
Manglar,2021-03-22,2021-03-30,0.1708323676319215,0.18684097807367195,99.02027247771824,99.30135845474761,-0.016008610441750448
Manglar,2021-04-07,2021-04-15,0.13561293095225616,0.14031822811683273,99.02027247771824,99.30135845474761,-0.004705297164576572
Manglar,2021-04-23,2021-05-01,0.11630323300812591,0.12105104553175036,99.02027247771824,99.30135845474761,-0.004747812523624453
Manglar,2021-05-01,2021-05-09,0.12872579886991603,0.13929150356645803,99.02027247771824,99.30135845474761,-0.010565704696542
Manglar,2021-05-09,2021-05-17,0.13748452027860256,0.14740218617705314,99.02027247771824,99.30135845474761,-0.009917665898450584
Manglar,2021-06-10,2021-06-18,0.15369028542515964,0.17391517452173275,99.02027247771824,99.30135845474761,-0.020224889096573107
Manglar,2021-06-18,2021-06-26,0.16564681211915316,0.20321780376240645,99.02027247771824,99.30135845474761,-0.03757099164325328
Manglar,2021-06-26,2021-07-04,0.16153024152754347,0.18300491190481422,99.02027247771824,99.30135845474761,-0.021474670377270744
Manglar,2021-07-04,2021-07-12,0.16566642457595107,0.1917169221194576,99.02027247771824,99.30135845474761,-0.026050497543506523
Manglar,2021-07-12,2021-07-20,0.17082192653765443,0.1932688614298133,82.25733756900453,99.30135845474761,-0.022446934892158876
Manglar,2021-07-20,2021-07-28,0.16729359083478584,0.18844078172666662,99.02027247771824,99.30135845474761,-0.021147190891880774
Manglar,2021-07-28,2021-08-05,0.16608668676770386,0.18236474166586433,99.02027247771824,99.30135845474761,-0.016278054898160477
Manglar,2021-08-05,2021-08-13,0.16686685056773604,0.18501318555761503,99.02027247771824,99.30135845474761,-0.018146334989879
Manglar,2021-08-13,2021-08-21,0.17488814074877226,0.19360562519853416,99.02027247771824,99.30135845474761,-0.0187174844497619
Manglar,2021-09-06,2021-09-14,0.17744656017942032,0.20854785890328736,99.02027247771824,99.30135845474761,-0.03110129872386705
Manglar,2021-09-14,2021-09-22,0.18369085541753538,0.20906472506695042,99.02027247771824,99.30135845474761,-0.025373869649415043
Manglar,2021-09-22,2021-09-30,0.1705141205367361,0.19175167725862322,99.02027247771824,99.30135845474761,-0.021237556721887124
Manglar,2021-10-24,2021-11-01,0.16300581059110356,0.18435967754987953,99.02027247771824,99.30135845474761,-0.021353866958775974
Manglar,2021-11-09,2021-11-17,0.15625653207979848,0.16949720822974665,99.02027247771824,99.30135845474761,-0.013240676149948172
Manglar,2021-11-17,2021-11-25,0.1509941489095268,0.1669131328776331,99.02027247771824,99.30135845474761,-0.015918983968106287
Manglar,2021-11-25,2021-12-03,0.13566826887608344,0.15525906920903623,99.02027247771824,99.30135845474761,-0.019590800332952796
Manglar,2021-12-03,2021-12-11,0.15059651448536085,0.1632314707541584,99.02027247771824,99.30135845474761,-0.012634956268797543
Manglar,2021-12-11,2021-12-19,0.14960348238464957,0.16237636052775797,99.02027247771824,99.30135845474761,-0.012772878143108402
Manglar,2021-12-19,2021-12-27,0.14912975434703254,0.161891720588129,99.02027247771824,99.30135845474761,-0.012761966241096462
Manglar,2021-12-27,2022-01-01,0.15034907537629455,0.16531635915090775,99.02027247771824,99.30135845474761,-0.014967283774613205
Manglar,2022-01-01,2022-01-09,0.14856370789312628,0.16153248194259978,99.02027247771824,99.30135845474761,-0.012968774049473497
Manglar,2022-01-09,2022-01-17,0.15257674512154998,0.1691515552524158,92.61719708396458,99.30135845474761,-0.016574810130865814
Manglar,2022-01-17,2022-01-25,0.1520665952535623,0.1702015348952666,99.02027247771824,99.30135845474761,-0.01813493964170429
Manglar,2022-01-25,2022-02-02,0.15710534644972862,0.16540487576667326,99.02027247771824,99.30135845474761,-0.008299529316944637
Manglar,2022-02-02,2022-02-10,0.15245195852286092,0.16614460151099023,99.02027247771824,99.30135845474761,-0.013692642988129305
Manglar,2022-02-10,2022-02-18,0.15746917843750863,0.18142349798387633,99.02027247771824,99.30135845474761,-0.023954319546367703
Manglar,2022-02-18,2022-02-26,0.15878895569172605,0.1784857246026985,99.02027247771824,99.30135845474761,-0.01969676891097244
